"","Name","n","MeanLeadTime","MeanGoal","MeanRevenue","MeanFundraising","MeanSelfDonnation","DistanceTraveled","FinanciallyCont","SelfDonated","Fundraised","ModifiedGoal","Onteam","UpdatedPersonalPage","SentEmails","CompletedReg","ProvidedParticipationReason","MeanTeamGoal","RepeatParticipant"
"750","1af5e4a49cc5740aea995471646bb8e7ab04be63",1,1.629861111,0,0,0,0,17.10695026,"No","No","No","Yes","Yes","No","No","No","No",0,"No"
"751","1afd77e951838411ed6c14b1e7c288d3c3e12e43",1,37.84375,250,35,0,35,17.33744562,"Yes","Yes","No","No","Yes","No","No","No","No",0,"No"
"752","1b0cefa8bd8a8805cecf9126e97909aa3ed4e0ea",1,65.68472222,250,0,0,0,20.49915343,"No","No","No","No","No","No","No","No","No",0,"No"
"753","1b0e6d5724f68a4e3ae2421d1a84b939f2492513",2,9.295833334,175,0,0,0,9.06811057,"No","No","No","No","Yes","No","No","No","No",9000,"Yes"
"754","1b1263eaee1a4c7cf5239c1fc2e25269e418294d",1,37.90972222,0,0,0,0,14.08943041,"No","No","No","Yes","Yes","No","No","No","No",0,"No"
"755","1b16b609cc2b6afdcf6bb4ce10fe263b1dda0623",1,23.94305556,250,20,0,20,22.82191584,"Yes","Yes","No","No","Yes","No","No","No","No",0,"No"
"756","1b1a83e658620281850c2762396b07cd06eacbdf",1,137.5270833,250,0,0,0,187.2819557,"No","No","No","No","Yes","No","No","No","No",3000,"No"
"757","1b1bdbd53a45add81810bfcd477c45d370374ba8",1,-2.21875,0,0,0,0,8.761922181,"No","No","No","Yes","No","No","No","No","No",0,"No"
"758","1b1dfe96d4ca8911e4dacd647680366a091e61e6",1,73.92638889,0,0,0,0,11.21658322,"No","No","No","Yes","Yes","Yes","No","No","Yes",300,"No"
"759","1b25077c5eb581e2a32df7a4479921f9f04a3bb8",1,5.207638889,1000,20,0,20,8.547081259,"Yes","Yes","No","Yes","Yes","No","No","No","No",1000,"No"
"760","1b33ddc03de996f981b895a5fb0e5de6739cd282",2,52.96215278,375,0,0,0,6.350210649,"No","No","No","No","Yes","Yes","No","No","Yes",200,"Yes"
"761","1b366134e93e8c5f529076d3228079cd3077e73a",1,17.40694444,250,0,0,0,133.0490058,"No","No","No","No","No","No","No","No","No",0,"No"
"762","1b510944856985fde766742dde57889d6babe691",1,17.10138889,250,0,0,0,18.20468874,"No","No","No","No","Yes","No","No","No","No",0,"No"
"763","1b51636332356104163690d38efbffecfd55595f",2,2.997222222,250,25,0,25,20.80939048,"No","No","No","No","Yes","No","No","No","No",9000,"Yes"
"764","1b5288201603ca81d56530d04ea2932f5514b7ef",1,47.73888889,250,40,0,40,8.386244556,"Yes","Yes","No","No","Yes","Yes","No","No","No",1000,"No"
"765","1b5f39df10c6997ac61cc567bf092f3ef01bde8c",2,16.326736111,250,300,287.5,12.5,672.183093,"Yes","No","Yes","No","Yes","Yes","No","No","No",0,"Yes"
"766","1b612b467eca4e0901aa4adb3bc290bc31fbca7c",1,2.559722222,250,0,0,0,6.255252777,"No","No","No","No","Yes","No","No","No","No",300,"No"
"767","1b627b6202810cfdd9e41d2702778cc169551be6",1,0.645833333,100,0,0,0,8.75331057,"No","No","No","Yes","No","No","No","No","No",0,"No"
"768","1b6d018cada3054621e74a9a695dae57285961db",1,39.73402778,0,0,0,0,18.20468874,"No","No","No","Yes","Yes","No","No","No","No",0,"No"
"769","1b75b28fb86cb096e88e011191a46907d02a01e1",1,-4.089583333,0,0,0,0,9.345998083,"No","No","No","Yes","No","No","No","No","No",0,"No"
"770","1b7cd6bea25443d14a38b707be67fcac2469d08f",1,-1.852777778,0,0,0,0,6.714778165,"No","No","No","Yes","No","No","No","No","No",0,"No"
"771","1b8643d13ba55b69f0f5f6dfe39335ccae16e838",1,0.110416667,0,0,0,0,22.68772877,"No","No","No","Yes","Yes","Yes","No","No","No",1000,"No"
"772","1b8efbbfead21ff6dd343b67ded478d12d479a80",1,1.671527778,0,0,0,0,12.94288403,"No","No","No","Yes","Yes","No","No","No","No",200,"No"
"773","1b90d513b6fdfcf8517ece27d0f51b47c7566440",1,0.432638889,250,35,0,35,8.992191431,"Yes","Yes","No","No","Yes","No","No","No","No",250,"No"
"774","1b96b17a27ecc9570b80df835475f0c647201064",1,9.589583333,250,60,40,20,14.17426829,"Yes","Yes","Yes","No","Yes","No","No","No","No",500,"No"
"775","1ba5846f3e4160eb60bc568927340d89eb70cc75",1,88.92083333,0,0,0,0,5.153974937,"No","No","No","Yes","No","No","No","No","Yes",0,"No"
"776","1ba6fb186bea6fce84c33895c4dcadf0c48ac912",1,-2.072916667,0,0,0,0,7.028386164,"No","No","No","Yes","No","No","No","No","No",0,"No"
"777","1bb12b714f205eea355cef159f12d3275097875a",1,109.8201389,250,10,0,10,17.83237146,"Yes","Yes","No","No","Yes","Yes","No","No","No",600,"No"
"778","1bb4fe28036b599086efe2a9bcea8baddadb439c",2,21.303472224,250,0,0,0,18.20468874,"No","No","No","No","Yes","No","No","No","No",0,"Yes"
"779","1bb5d89ca715d342ab43719770b935e58c4dca8f",1,-5.089583333,0,20,20,0,14.1815597,"Yes","No","Yes","Yes","No","No","No","No","No",0,"No"
"780","1bc5cbc525b30bb63d094876a20c45fa78d265fa",5,12.1086111116,150,38,20,18,11.2906532364,"No","No","No","No","Yes","Yes","No","No","No",600,"Yes"
"781","1bc8b02eba60f08d2c7e423fb5b23cfb25208e5a",1,36.625,250,60,0,60,0,"Yes","Yes","No","No","No","No","No","No","No",0,"No"
"782","1bd6c14bf7abe7fdf9727443b8e32c6a0fc46f59",1,-3.070138889,0,110,110,0,16.30574554,"Yes","No","Yes","Yes","No","No","No","No","No",0,"No"
"783","1bde7b57773fcd8b5013250c45e22d5a143fb382",1,3.8875,250,10,0,10,9.013655591,"Yes","Yes","No","No","Yes","No","No","No","No",600,"No"
"784","1be05030e9146cf512601ad8a8201fc1b423a952",1,22.06388889,250,0,0,0,7.763164734,"No","No","No","No","Yes","No","No","No","No",1000,"No"
"785","1be4a21cbbcf218a1f736e7461cab4b29f3952b3",2,0.728125,175,75,0,75,14.24595662,"Yes","Yes","No","No","Yes","No","No","No","No",3750,"Yes"
"786","1be5befd21f65e7acac8901b3bdd5ce118eb87b1",1,0.465972222,250,20,20,0,19.08919079,"Yes","No","Yes","No","Yes","No","No","No","No",5000,"No"
"787","1bf2c75dad1d1e5c21f7c7df4d8c87b4397afb94",3,27.3150462966667,166.666666666667,1.66666666666667,0,1.66666666666667,15.59262306,"No","No","No","No","Yes","No","No","No","No",666.666666666667,"Yes"
"788","1bf654c7b0cdc52ff5a5ab5e779d8cb76ac392fc",1,33.70972222,250,0,0,0,43.95342045,"No","No","No","No","Yes","No","No","No","No",1000,"No"
"789","1c050c5aa253a432889aa1fb898d8f8c8d69e15d",1,74.90902778,250,40,0,40,288.7846863,"Yes","Yes","No","No","Yes","No","No","No","No",200,"No"
"790","1c0f179877b1b3ac82df5591b94bff47cfe170c1",1,39.73055556,0,0,0,0,14.08943041,"No","No","No","Yes","Yes","No","No","No","No",0,"No"
"791","1c13dad6af2d3aca112995743dd1865ac162d514",1,6.520833333,250,0,0,0,52.78482913,"No","No","No","No","Yes","No","No","No","No",250,"No"
"792","1c1c2896f00e1a1c5f752808ba0141e97807c3b9",1,32.80486111,10,0,0,0,12.31681969,"No","No","No","Yes","Yes","No","No","No","Yes",0,"No"
"793","1c1cccb9c5cac2450d766bb123e5608168962e05",2,18.643055557,175,50,0,50,4.532956397,"No","No","No","No","No","Yes","No","No","No",0,"Yes"
"794","1c437176ae146e963a40b6b77a9ac9d8bda54c63",1,1.883333333,250,0,0,0,14.56109296,"No","No","No","No","Yes","No","No","No","No",1500,"No"
"795","1c50fa799dc33a1fdb65c48d248ff4a8569314b3",1,-1.852777778,0,0,0,0,0,"No","No","No","Yes","No","No","No","No","No",0,"No"
"796","1c5d520ea991681d0c3b580808a9411ff55dbe4d",1,10.95763889,0,0,0,0,14.56109296,"No","No","No","Yes","Yes","No","No","No","No",0,"No"
"797","1c5dd39e95e6744089e0a54be06d5ae81fb9850f",1,2.975,0,0,0,0,25.65773598,"No","No","No","Yes","Yes","No","No","No","No",250,"No"
"798","1c618d276af9d11756203bed33c4cadab5d237b4",1,15.43402778,250,75,0,75,9.326509416,"Yes","Yes","No","No","Yes","No","No","Yes","Yes",10000,"No"
"799","1c61de9e794e6fb837326e64ea6b01b895945f7b",1,-3.186111111,0,0,0,0,16.33500569,"No","No","No","Yes","No","No","No","No","No",0,"No"
"800","1c67d160c2285297059941c7cd8af7924ddf4203",1,4.970138889,0,0,0,0,11.7521878,"No","No","No","Yes","Yes","No","No","No","No",500,"No"
"801","1c67db5f93f949e12416cdc0c1564404fc3bb5d0",2,25.880902775,125,0,0,0,7.7175138075,"No","No","No","No","Yes","No","No","No","No",500,"Yes"
"802","1c6d23333819905e384f5ea3bdc6cca25132687f",1,10.24097222,0,0,0,0,16.64682946,"No","No","No","Yes","No","No","No","No","No",0,"No"
"803","1c743c93612bb07d5fbefc945b4ff1c9e9a389ea",1,3.808333333,0,25,0,25,21.81620209,"Yes","Yes","No","Yes","Yes","No","No","No","No",0,"No"
"804","1c7810ff5162eaa3bea88ee367e2081097b89f1c",1,3.769444444,250,0,0,0,31.84252107,"No","No","No","No","No","No","No","No","No",0,"No"
"805","1c7fa539c3f96fcc50dd22d2ead4949666e62930",1,2.875,100,150,150,0,14.64606593,"Yes","No","Yes","Yes","Yes","Yes","No","No","No",100,"No"
"806","1c8a97b91d54e4c4ec5c1f0360b66576d629aa3c",1,2.992361111,100,0,0,0,14.64606593,"No","No","No","Yes","Yes","No","No","No","No",100,"No"
"807","1c900ae2ba4b6e5a381428ba8bbc2093df3d9a61",1,1.845833333,0,0,0,0,17.99497945,"No","No","No","Yes","Yes","No","No","No","No",300,"No"
"808","1c974234c0015035ef7f27fe3316cf955306358f",1,2.477777778,250,0,0,0,0,"No","No","No","No","Yes","No","No","Yes","Yes",500,"No"
"809","1cbcc08ed1db5bc72a2d8456a0146db84913a110",1,13.12222222,250,0,0,0,19.9830611,"No","No","No","No","Yes","No","No","No","No",250,"No"
"810","1cc4fa79d4b1187dcd3d09a2c9f4dc66bccf5d6a",1,-3.99375,0,0,0,0,13.04794399,"No","No","No","Yes","No","No","No","No","No",0,"No"
"811","1cc6dd592379ee616f1f54ca2e89e5ac799da10d",1,-5.089583333,0,0,0,0,11.9781348,"No","No","No","Yes","No","No","No","No","No",0,"No"
"812","1cc8a5afc51514c2bd492cab4f04dea3c71c149c",1,4.903472222,25,0,0,0,2.761606594,"No","No","No","Yes","Yes","No","No","No","No",0,"No"
"813","1d09c850f9b429a00894b385e0734c2bdcd7ae33",5,3.7931944446,50,10,4,6,11.8876783472,"No","No","No","Yes","Yes","No","No","No","No",600,"Yes"
"814","1d0e8e0eb5a4127933fb075327481efb5ebedfb0",1,6.89375,250,0,0,0,19.104638,"No","No","No","No","Yes","No","No","No","No",0,"No"
"815","1d121c70ee0045750e9c7e2d4ef3ad8bec67792a",2,10.680555558,125,0,0,0,64.989404055,"No","No","No","No","Yes","No","No","No","No",250,"Yes"
"816","1d1b8e73350cbb3d4be1815d7d04e03477b45875",1,13.12222222,0,0,0,0,19.9830611,"No","No","No","Yes","Yes","No","No","No","No",250,"No"
"817","1d3cedf932fd3569c0a82638defcb679e1b2bfe8",1,16.98263889,250,20,20,0,26.76517427,"Yes","No","Yes","No","No","Yes","No","No","No",0,"No"
"818","1d45dc344789eaa37bcec7eaaa796a22cb3b2fe7",1,17.89513889,250,0,0,0,11.08450855,"No","No","No","No","Yes","No","No","No","No",1500,"No"
"819","1d48a9c197b314e48fd8ab6b539c4c59ac37faad",1,-3.968055556,0,0,0,0,0,"No","No","No","Yes","No","No","No","No","No",0,"No"
"820","1d4935092d80012aaaa7f878bc175267f84715f1",1,60.01944444,250,0,0,0,10.49537889,"No","No","No","No","Yes","No","No","No","No",0,"No"
"821","1d4e6115880c7f8016d2e3339bfe35b5230fa6ad",1,1.054166667,0,0,0,0,17.82460837,"No","No","No","Yes","Yes","No","No","No","No",0,"No"
"822","1d549ff10825b43662ef7a9fd34e6aa3fabbcd55",1,15.66458333,250,145,145,0,8.317078161,"Yes","No","Yes","No","Yes","No","No","No","No",10000,"No"
"823","1d5c8355169d1e072f3c4d5727937b92a7db7e09",1,-1.190972222,0,0,0,0,74.13593665,"No","No","No","Yes","No","No","No","No","No",0,"No"
"824","1d72ef62046f14f0f4a9d53bbd31ac3948734dd0",1,-2.072916667,0,0,0,0,12.48427863,"No","No","No","Yes","No","No","No","No","No",0,"No"
"825","1d7a0a21898e140afa657ec9c0f104ebbd57cabf",1,17.62638889,250,0,0,0,14.84303953,"No","No","No","No","Yes","Yes","No","No","Yes",500,"No"
"826","1d83d2257cfe7e2f065d2bbd4f783b850b7eea9d",1,3.175694444,0,0,0,0,7.681472886,"No","No","No","Yes","Yes","No","No","No","No",0,"No"
"827","1d8c8862f3e230a8d37a90e627d2ff980ca96237",1,49.64375,0,0,0,0,9.099487255,"No","No","No","Yes","Yes","No","No","No","No",1000,"No"
"828","1d942ac0e09bfcd2314a90150eade1d3e52e140e",1,12.36875,250,100,0,100,14.80898478,"Yes","Yes","No","No","Yes","No","No","Yes","Yes",0,"No"
"829","1d9b60e072fdb8732b858b1810970c2c72de3677",1,0.626388889,250,20,0,20,6.574067152,"Yes","Yes","No","No","No","No","No","No","No",0,"No"
