"Walk Name","Walk Zip","Zip","lng_start","lat_start","lng_end","lat_end","distance_metres","distance_miles","zip.range"
"2017 Tampa Kidney Walk","33602","32091",-82.46,27.95,-82.1,29.9,219888.093652541,136.632084640973,"[101-150]"
"2017 Tampa Kidney Walk","33602","33764",-82.46,27.95,-82.73,27.94,26574.9575907883,16.5129079731457,"[0-50]"
"2017 Tampa Kidney Walk","33602","33647",-82.46,27.95,-82.35,28.12,21793.3238805833,13.5417394530019,"[0-50]"
"2017 Tampa Kidney Walk","33602","33705",-82.46,27.95,-82.64,27.74,29332.5064764689,18.22636888179,"[0-50]"
"2017 Tampa Kidney Walk","33602","31316",-82.46,27.95,-81.7,31.8,434808.617165589,270.177465256799,"[151-3000]"
"2017 Tampa Kidney Walk","33602","33716",-82.46,27.95,-82.64,27.87,19820.2035379778,12.3156996925968,"[0-50]"
"2017 Tampa Kidney Walk","33602","33760",-82.46,27.95,-82.71,27.9,25211.4737783951,15.6656786731551,"[0-50]"
"2017 Tampa Kidney Walk","33602","33612",-82.46,27.95,-82.45,28.05,11175.2569562029,6.94398059013274,"[0-50]"
"2017 Tampa Kidney Walk","33602","33777",-82.46,27.95,-82.76,27.85,31543.6469506825,19.6003074493925,"[0-50]"
"2017 Tampa Kidney Walk","33602","33716",-82.46,27.95,-82.64,27.87,19820.2035379778,12.3156996925968,"[0-50]"
"2017 Tampa Kidney Walk","33602","33606",-82.46,27.95,-82.46,27.93,2226.38981586542,1.38341406627411,"[0-50]"
"2017 Tampa Kidney Walk","33602","34677",-82.46,27.95,-82.68,28.04,23832.7581791434,14.8089847825325,"[0-50]"
"2017 Tampa Kidney Walk","33602","31324",-82.46,27.95,-81.3,31.9,453719.689724923,281.928257324065,"[151-3000]"
"2017 Tampa Kidney Walk","33602","31324",-82.46,27.95,-81.3,31.9,453719.689724923,281.928257324065,"[151-3000]"
"2017 Tampa Kidney Walk","33602","30076",-82.46,27.95,-84.31,34.02,698350.078808025,433.934486819021,"[151-3000]"
"2017 Tampa Kidney Walk","33602","29229",-82.46,27.95,-80.87,34.12,703352.853250938,437.043065777388,"[151-3000]"
"2017 Tampa Kidney Walk","33602","33635",-82.46,27.95,-82.61,28.02,16677.7984703422,10.363100313315,"[0-50]"
"2017 Tampa Kidney Walk","33602","33613",-82.46,27.95,-82.45,28.09,15615.6808240472,9.70313120931906,"[0-50]"
"2017 Tampa Kidney Walk","33602","33626",-82.46,27.95,-82.61,28.06,19164.8328798772,11.9084713714022,"[0-50]"
"2017 Tampa Kidney Walk","33602","33634",-82.46,27.95,-82.54,28,9635.23468796435,5.9870554132951,"[0-50]"
"2017 Tampa Kidney Walk","33602","33606",-82.46,27.95,-82.46,27.93,2226.38981586542,1.38341406627411,"[0-50]"
"2017 Tampa Kidney Walk","33602","33572",-82.46,27.95,-82.4,27.77,20889.4883285796,12.9801222522178,"[0-50]"
"2017 Tampa Kidney Walk","33602","33458",-82.46,27.95,-80.13,26.94,256166.32361907,159.174324673505,"[151-3000]"
"2017 Tampa Kidney Walk","33602","30075",-82.46,27.95,-84.38,34.06,704353.597708149,437.66489936151,"[151-3000]"
"2017 Tampa Kidney Walk","33602","33558",-82.46,27.95,-82.51,28.16,23887.5640042925,14.8430395329112,"[0-50]"
"2017 Tampa Kidney Walk","33602","34231",-82.46,27.95,-82.52,27.26,77038.1518708317,47.8692734661306,"[0-50]"
"2017 Tampa Kidney Walk","33602","33755",-82.46,27.95,-82.78,27.98,31639.5108648103,19.6598745055781,"[0-50]"
"2017 Tampa Kidney Walk","33602","33604",-82.46,27.95,-82.45,28.01,6751.12887294597,4.19495569891131,"[0-50]"
"2017 Tampa Kidney Walk","33602","33637",-82.46,27.95,-82.36,28.05,14850.1871434632,9.22747563552085,"[0-50]"
"2017 Tampa Kidney Walk","33602","33772",-82.46,27.95,-82.8,27.84,35621.654932637,22.1342633471476,"[0-50]"
"2017 Tampa Kidney Walk","33602","34690",-82.46,27.95,-82.72,28.19,36959.4174493494,22.9655101799197,"[0-50]"
"2017 Tampa Kidney Walk","33602","34436",-82.46,27.95,-82.3,28.7,84948.974338502,52.7848291336893,"[51-100]"
"2017 Tampa Kidney Walk","33602","34436",-82.46,27.95,-82.3,28.7,84948.974338502,52.7848291336893,"[51-100]"
"2017 Tampa Kidney Walk","33602","34461",-82.46,27.95,-82.5,28.8,94702.6379895938,58.8454728702319,"[51-100]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33647",-82.46,27.95,-82.35,28.12,21793.3238805833,13.5417394530019,"[0-50]"
"2017 Tampa Kidney Walk","33602","34667",-82.46,27.95,-82.65,28.38,51370.8787521437,31.9203743010983,"[0-50]"
"2017 Tampa Kidney Walk","33602","33511",-82.46,27.95,-82.3,27.9,16692.5128873876,10.3722434253489,"[0-50]"
"2017 Tampa Kidney Walk","33602","33511",-82.46,27.95,-82.3,27.9,16692.5128873876,10.3722434253489,"[0-50]"
"2017 Tampa Kidney Walk","33602","33511",-82.46,27.95,-82.3,27.9,16692.5128873876,10.3722434253489,"[0-50]"
"2017 Tampa Kidney Walk","33602","37311",-82.46,27.95,-84.9,35.1,828835.353826773,515.014252642696,"[151-3000]"
"2017 Tampa Kidney Walk","33602","34712",-82.46,27.95,NA,NA,NA,NA,NA
"2017 Tampa Kidney Walk","33602","33317",-82.46,27.95,-80.23,26.11,301401.184965311,187.281955703081,"[151-3000]"
"2017 Tampa Kidney Walk","33602","33317",-82.46,27.95,-80.23,26.11,301401.184965311,187.281955703081,"[151-3000]"
"2017 Tampa Kidney Walk","33602","34637",-82.46,27.95,-82.46,28.31,40075.0166855784,24.9014531929345,"[0-50]"
"2017 Tampa Kidney Walk","33602","34201",-82.46,27.95,-82.47,27.41,60120.6075018124,37.3572020040087,"[0-50]"
"2017 Tampa Kidney Walk","33602","33716",-82.46,27.95,-82.64,27.87,19820.2035379778,12.3156996925968,"[0-50]"
"2017 Tampa Kidney Walk","33602","33602",-82.46,27.95,-82.46,27.95,0,0,"[0-50]"
"2017 Tampa Kidney Walk","33602","34637",-82.46,27.95,-82.46,28.31,40075.0166855784,24.9014531929345,"[0-50]"
"2017 Tampa Kidney Walk","33602","33760",-82.46,27.95,-82.71,27.9,25211.4737783951,15.6656786731551,"[0-50]"
"2017 Tampa Kidney Walk","33602","33760",-82.46,27.95,-82.71,27.9,25211.4737783951,15.6656786731551,"[0-50]"
"2017 Tampa Kidney Walk","33602","34219",-82.46,27.95,-82.3,27.6,42028.1831186455,26.1150941726159,"[0-50]"
"2017 Tampa Kidney Walk","33602","33716",-82.46,27.95,-82.64,27.87,19820.2035379778,12.3156996925968,"[0-50]"
"2017 Tampa Kidney Walk","33602","33711",-82.46,27.95,-82.69,27.74,32542.4363470873,20.220926215426,"[0-50]"
"2017 Tampa Kidney Walk","33602","33525",-82.46,27.95,-82.2,28.4,56216.7476340451,34.9314566941142,"[0-50]"
"2017 Tampa Kidney Walk","33602","33525",-82.46,27.95,-82.2,28.4,56216.7476340451,34.9314566941142,"[0-50]"
"2017 Tampa Kidney Walk","33602","33525",-82.46,27.95,-82.2,28.4,56216.7476340451,34.9314566941142,"[0-50]"
"2017 Tampa Kidney Walk","33602","33525",-82.46,27.95,-82.2,28.4,56216.7476340451,34.9314566941142,"[0-50]"
"2017 Tampa Kidney Walk","33602","33525",-82.46,27.95,-82.2,28.4,56216.7476340451,34.9314566941142,"[0-50]"
"2017 Tampa Kidney Walk","33602","33782",-82.46,27.95,-82.71,27.86,26556.3042812332,16.5013173475341,"[0-50]"
"2017 Tampa Kidney Walk","33602","33782",-82.46,27.95,-82.71,27.86,26556.3042812332,16.5013173475341,"[0-50]"
"2017 Tampa Kidney Walk","33602","33547",-82.46,27.95,-82.1,27.8,39163.1999421088,24.3348767112281,"[0-50]"
"2017 Tampa Kidney Walk","33602","34610",-82.46,27.95,-82.5,28.4,50247.3150868839,31.2222244228521,"[0-50]"
"2017 Tampa Kidney Walk","33602","33773",-82.46,27.95,-82.75,27.88,29571.4830819113,18.3748620140903,"[0-50]"
"2017 Tampa Kidney Walk","33602","33773",-82.46,27.95,-82.75,27.88,29571.4830819113,18.3748620140903,"[0-50]"
"2017 Tampa Kidney Walk","33602","33702",-82.46,27.95,-82.63,27.85,20090.6518743389,12.4837484458099,"[0-50]"
"2017 Tampa Kidney Walk","33602","34613",-82.46,27.95,-82.54,28.58,70568.5419976153,43.8492455096002,"[0-50]"
"2017 Tampa Kidney Walk","33602","34613",-82.46,27.95,-82.54,28.58,70568.5419976153,43.8492455096002,"[0-50]"
"2017 Tampa Kidney Walk","33602","34613",-82.46,27.95,-82.54,28.58,70568.5419976153,43.8492455096002,"[0-50]"
"2017 Tampa Kidney Walk","33602","33556",-82.46,27.95,-82.6,28.2,31041.7259550662,19.2884282984255,"[0-50]"
"2017 Tampa Kidney Walk","33602","33615",-82.46,27.95,-82.58,28,13044.5327596554,8.10549436539981,"[0-50]"
"2017 Tampa Kidney Walk","33602","33615",-82.46,27.95,-82.58,28,13044.5327596554,8.10549436539981,"[0-50]"
"2017 Tampa Kidney Walk","33602","33604",-82.46,27.95,-82.45,28.01,6751.12887294597,4.19495569891131,"[0-50]"
"2017 Tampa Kidney Walk","33602","34609",-82.46,27.95,-82.51,28.48,59202.8375121346,36.7869263477526,"[0-50]"
"2017 Tampa Kidney Walk","33602","32626",-82.46,27.95,-82.9,29.4,167035.216702647,103.79083963774,"[101-150]"
"2017 Tampa Kidney Walk","33602","34695",-82.46,27.95,-82.69,28.01,23576.600440322,14.6498157922034,"[0-50]"
"2017 Tampa Kidney Walk","33602","34695",-82.46,27.95,-82.69,28.01,23576.600440322,14.6498157922034,"[0-50]"
"2017 Tampa Kidney Walk","33602","33614",-82.46,27.95,-82.5,28.01,7750.76055434543,4.81609783641417,"[0-50]"
"2017 Tampa Kidney Walk","33602","33556",-82.46,27.95,-82.6,28.2,31041.7259550662,19.2884282984255,"[0-50]"
"2017 Tampa Kidney Walk","33602","33620",-82.46,27.95,-82.41,28.062,13401.300775867,8.32717966440123,"[0-50]"
"2017 Tampa Kidney Walk","33602","32789",-82.46,27.95,-81.36,28.6,129865.349383375,80.6945620116973,"[51-100]"
"2017 Tampa Kidney Walk","33602","33713",-82.46,27.95,-82.68,27.79,28034.6849475044,17.4199402205158,"[0-50]"
"2017 Tampa Kidney Walk","33602","33713",-82.46,27.95,-82.68,27.79,28034.6849475044,17.4199402205158,"[0-50]"
"2017 Tampa Kidney Walk","33602","33573",-82.46,27.95,-82.36,27.73,26394.4718995905,16.4007593987205,"[0-50]"
"2017 Tampa Kidney Walk","33602","33573",-82.46,27.95,-82.36,27.73,26394.4718995905,16.4007593987205,"[0-50]"
"2017 Tampa Kidney Walk","33602","33624",-82.46,27.95,-82.52,28.08,15626.720475485,9.70999092857261,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33458",-82.46,27.95,-80.13,26.94,256166.32361907,159.174324673505,"[151-3000]"
"2017 Tampa Kidney Walk","33602","33458",-82.46,27.95,-80.13,26.94,256166.32361907,159.174324673505,"[151-3000]"
"2017 Tampa Kidney Walk","33602","33559",-82.46,27.95,-82.4,28.16,24108.7473072174,14.980476423033,"[0-50]"
"2017 Tampa Kidney Walk","33602","33541",-82.46,27.95,-82.22,28.23,39077.6582826058,24.281723604721,"[0-50]"
"2017 Tampa Kidney Walk","33602","33541",-82.46,27.95,-82.22,28.23,39077.6582826058,24.281723604721,"[0-50]"
"2017 Tampa Kidney Walk","33602","33545",-82.46,27.95,-82.29,28.27,39339.1437306513,24.4442030790585,"[0-50]"
"2017 Tampa Kidney Walk","33602","33647",-82.46,27.95,-82.35,28.12,21793.3238805833,13.5417394530019,"[0-50]"
"2017 Tampa Kidney Walk","33602","33616",-82.46,27.95,-82.53,27.86,12157.1633331659,7.55410873749264,"[0-50]"
"2017 Tampa Kidney Walk","33602","33647",-82.46,27.95,-82.35,28.12,21793.3238805833,13.5417394530019,"[0-50]"
"2017 Tampa Kidney Walk","33602","34652",-82.46,27.95,-82.78,28.22,43486.5126781963,27.0212578693635,"[0-50]"
"2017 Tampa Kidney Walk","33602","33647",-82.46,27.95,-82.35,28.12,21793.3238805833,13.5417394530019,"[0-50]"
"2017 Tampa Kidney Walk","33602","33545",-82.46,27.95,-82.29,28.27,39339.1437306513,24.4442030790585,"[0-50]"
"2017 Tampa Kidney Walk","33602","33629",-82.46,27.95,-82.51,27.92,5944.23201736245,3.69357339286053,"[0-50]"
"2017 Tampa Kidney Walk","33602","33579",-82.46,27.95,-82.28,27.8,24342.4468066512,15.1256905146957,"[0-50]"
"2017 Tampa Kidney Walk","33602","33579",-82.46,27.95,-82.28,27.8,24342.4468066512,15.1256905146957,"[0-50]"
"2017 Tampa Kidney Walk","33602","33611",-82.46,27.95,-82.51,27.89,8294.52120785679,5.15397493744718,"[0-50]"
"2017 Tampa Kidney Walk","33602","33572",-82.46,27.95,-82.4,27.77,20889.4883285796,12.9801222522178,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33510",-82.46,27.95,-82.3,27.96,15772.1790717971,9.80037468202161,"[0-50]"
"2017 Tampa Kidney Walk","33602","33510",-82.46,27.95,-82.3,27.96,15772.1790717971,9.80037468202161,"[0-50]"
"2017 Tampa Kidney Walk","33602","33510",-82.46,27.95,-82.3,27.96,15772.1790717971,9.80037468202161,"[0-50]"
"2017 Tampa Kidney Walk","33602","33542",-82.46,27.95,-82.18,28.23,41565.2586941851,25.8274463600645,"[0-50]"
"2017 Tampa Kidney Walk","33602","32256",-82.46,27.95,-81.52,30.18,264551.884888112,164.384869264811,"[151-3000]"
"2017 Tampa Kidney Walk","33602","33543",-82.46,27.95,-82.3,28.21,32934.0066435821,20.4642366421292,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33570",-82.46,27.95,-82.47,27.7,27847.2803184186,17.3034924187361,"[0-50]"
"2017 Tampa Kidney Walk","33602","33614",-82.46,27.95,-82.5,28.01,7750.76055434543,4.81609783641417,"[0-50]"
"2017 Tampa Kidney Walk","33602","33563",-82.46,27.95,-82.13,28.02,33362.7344315752,20.7306356564823,"[0-50]"
"2017 Tampa Kidney Walk","33602","33563",-82.46,27.95,-82.13,28.02,33362.7344315752,20.7306356564823,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","34608",-82.46,27.95,-82.55,28.48,59656.1748708938,37.0686170357022,"[0-50]"
"2017 Tampa Kidney Walk","33602","33619",-82.46,27.95,-82.38,27.9,9638.20821908093,5.98890307929854,"[0-50]"
"2017 Tampa Kidney Walk","33602","34652",-82.46,27.95,-82.78,28.22,43486.5126781963,27.0212578693635,"[0-50]"
"2017 Tampa Kidney Walk","33602","34652",-82.46,27.95,-82.78,28.22,43486.5126781963,27.0212578693635,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33541",-82.46,27.95,-82.22,28.23,39077.6582826058,24.281723604721,"[0-50]"
"2017 Tampa Kidney Walk","33602","33579",-82.46,27.95,-82.28,27.8,24342.4468066512,15.1256905146957,"[0-50]"
"2017 Tampa Kidney Walk","33602","33647",-82.46,27.95,-82.35,28.12,21793.3238805833,13.5417394530019,"[0-50]"
